index	title	release date	hero	heroine	director	genre	ratings
1	Raees	2017	Shahrukh Khan	Mahira Khan	Rahul Dholakia	Action,Crime,Drama	6.8
2	Kaabil	2017	Hritik Roshan	Yami Gautam	Sanjay Gupta	Action,Drama,Thriller	7.1
3	Jab Harry Met Sejal	2017	Shahrukh Khan	Anushka Sharma	Imtiaz Ali	Comedy,Romance,Drama	5.3
4	Tiger Zinda Hai	2017	Salman Khan	Katrina Kaif	Ali Abbas Zafar	Action,Adventure,Thriller	6
5	Jolly LLB 2	2017	Akshay Kumar	Huma Qureshi	Subhash Kapoor	Comedy,Drama	7.2
6	Toilet - Ek Prem Katha	2017	Akshay Kumar	Bhumi Pednekar	Shree Narayan Singh	Comedy,Drama	7.3
7	Secret Superstar	2017	Amir Khan	Zaira Wasim	Advait Chandan	Drama,Musical	7.9
8	Hindi Medium	2017	Irrfan Khan	Saba Qamar	Saket Chaudhary	Comedy,Drama	7.8
9	The Ghazi Attack	2017	Rana Daggubati	Tapsee Pannu	Sankalp Reddy	Action,Thriller,War	7.6
10	Jagga Jasoos	2017	Ranbir Kapoor	Katrina Kaif	Anurag Basu	Action,Adventure,Comedy	6.4
11	Shaadi Mein Zaroor Aana 	2017	Rajkumar Rao	Kriti Karbhanda	Ratnaa Sinha	Drama,Family,Romance	7.6
12	Newton	2017	Rajkumar Rao	Anjali Patil	Amit Masurkar	Drama	7.7
13	Bareilly Ki Barfi	2017	Ayushman Khurana	Kriti Sanon	Ashwiny Tiwari	Comedy,Drama	7.5
14	Golmaal Again	2017	Ajay Devgan	Parineeti Chopra	Rohit Shetty	Action,Comedy,Fantasy	5
15	Ittefaq	2017	Sidharth Malhotra	Sonakshi Sinha	Abhay Chopra	Mystry,Thriller	7.2
16	Badshaho	2017	Ajay Devgan	Ileana D'Cruz	Milan Luthria	Action,Thriller	4.9
17	Nama Shabana	2017	Manajo Bajpayee	Tapsee Pannu	Shivam Nair	Action,Thriller	6.3
18	A Gentleman	2017	Sidharth Malhotra	Jaqline Fernandes	Raj Nidimoru	Action,Comedy	6.3
19	Phillauri	2017	Diljit Dosanjh	Anushka Sharma	Anshai Lal	Comedy,Drama,Fantasy	6.1
20	Shubh Mangal Saavdhan	2017	Ayushman Khurana	Bhumi Pednekar	R. S. Prasanna 	Comedy,Romance,Drama	6.9
21	Mukkabaaz	2018	Jimmy Sheirgil	Zoya Hussain	Anurag Kashyap	Action,Drama,Sport	8.1
22	Padmaavat	2018	Shahid Kapoor	Deepika Padukone	Sanjay Leela Bhansali	Drama,History,Romance	7
23	Tumbbad	2018	Sohum Shaha	Jyoti Malshe	Rahi Anil Barve	Drama,Fantasy,Horror	8.2
24	October	2018	Varun Dhawan	Banita Sandhu	Shoojit Sircar	Drama,Romance	7.5
25	Raid	2018	Ajay Devgan	Ileana D'Cruz	Rajkumar Gupta	Action,Crime,Drama	7.4
26	Hichki	2018	Rohit Saraf	Rani Mukerji	Siddharth Malhotra	Comedy,Drama	7.5
27	Karwaan	2018	Irrfan Khan	Mithila Palkar	Akarsh Khurana	Comedy,Drama	7.5
28	Gold	2018	Akshay Kumar	Mouni Roy	Reema Kagti	Drama,Histiory,Sport	7.3
29	Sonu Ke Tittu Ki Sweety	2018	Kartik Aryan	Nushrat Bharucha	Luv Ranjan	Comedy,Romance	7.1
30	102 Not Out	2018	Amitabh Bachchan		Umesh Shukla	Comedy,Drama	7.5
31	Parmanu	2018	John Abraham	Diana Penty	Abhishek Sharma	Action,Drama,History	7.7
32	Blackmail	2018	Irrfan Khan	Kirti Kulhari	Abhinay Deo	Comedy,Thriller	7
33	Pataakha	2018	Sunil Grover	Saniya Malhotra	Vishal Bhardwaj	Comedy,Action,Drama	7.2
34	SuiDhaaga	2018	Varun Dhawan	Anushka Sharma	Sharat Kataria	Comedy,Drama	6.8
35	Soorma	2018	Diljit Dosanjh	Taapsee Pannu	Shahad Ali	Drama,Biography,Sport	7.4
36	Mannmarziya	2018	Vicky Kaushal	Taapsee Pannu	Anurag Kashyap	Romance	6.9
37	Padman	2018	Akshay Kumar	Sonam Kapoor	R.Balki	Comedy,Drama	8
38	Pari	2018	Rajat Kapoor	Anushka Sharma	Prosit Roy	Fantasy,Horror,Mystry	6.6
39	3 Storeys	2018	Tarun Anand	Richa Chaddha	Arjun Mukerjee	Drama	7.1
40	Baaghi 2	2018	Tiger Shrof	Disha Patani	Ahmed Khan	Action,thriller	5
41	Raazi	2018	Vicky Kaushal	Alia Bhatt	Meghna Gulzar	Action,Drama,Thriller	7.8
42	Kaala	2018	Rajnikanth	Huma Qurashi	Pa.Ranjth	Action,Drama	6.8
43	Sanju	2018	Ranbir Kapoor	Anushka Sharma	Rajkumar Hirani	Biography,Drama	7.9
44	Mulk	2018	Rishi Kapoor	Taapsee Pannu	Anubhav Sinha	Drama	6.6
45	Satyameva Jayte	2018	John Abraham	Aisha Sharma	Milap Javeri	Action,Thriller	5.6
46	Stree	2018	Rajkumar Rao	Shraddha Kapoor	Amar Kaushik	Comedy,Horror	7.7
47	Andhadhun	2018	Ayushman Khurana	Tabu	Sriram Raghwan	Crime,Thriller	8.4
48	Badhaai Ho	2018	Ayushman Khurana	Saniya Malhotra	Amit Sharma	Comedy,Drama	8
49	Bazzar	2018	Saif Ali Khan	Radhika Apte	Gauravv Chavla	Crime,Thriller,Drama	6.6
50	2.o	2018	Akshay Kumar	Amy Jackson	S.Shankar	Action,Sci-FI	6.4
51	Zero	2018	Shah Rukh Khan	Anushka Sharma	Annand L. Rai	Comedy,Drama,Romance	5.6
52	Simmba	2018	Ranveer Singh	Sara Ali Khan 	Rohit Shetty	Action,Comedy,Drama	6.3
53	Dangal	2016	Aamir Khan	Fatima Sana Shaikh	Nitesh Tiwari	Action, Biopic, Drama	8.4
54	Airlift	2016	Akshay Kumar	Nimrat Kaur	Raja Menon	Drama, History	8
55	Dear zindagi	2016	Shahrukh Khan	Alia Bhatt	Gauri Shinde	Drama, Romance	7.6
56	M. S. Dhoni:  the untold story	2016	Sushant Singh Rajput	Kiara  Advani	Niraj Pandey	Drama, Biopic, Sports	7.7
57	Sultan	2016	Salman Khan	Anushka Sharma	Ali Abbas Zafar	Action, Drama, Sport	7.1
58	Pink	2016	Amitabh Bachchan	Taapsee Pannu	Aniruddha roy chaudhary	Drama, Thriller	6.2
59	Shivaay	2016	Ajay Devgan	Sayyesha Saighal	Ajay Devgan	Action, Drama, Thriller	8.2
60	Rustom	2016	Akshay Kumar	Ileana D'Cruz	Dharmendra Suresh Desai	crime, Drama, thriller	7.1
61	Udta Punjab	2016	Shahid Kapoor	Alia Bhatt	Abhishekh chaubey	Action, crime, Drama	7.8
62	Kapoor and sons	2016	Sidharth Malhotra	Alia Bhatt	Shakun Batra	Comedy, Drama, Romance	7.7
63	Mohenjo daro	2016	hritik Roshan	Pooja Hegde	Ashutosh Gowariker	Action, Adventure, Drama 	5.7
64	Sanam Teri Kasam	2016	Harshvardhan Rane	Mawra hocane	Radhika Rao	Drama, Romance, Musical	7.3
65	Wazir	2016	Farhan Akhtar	Aditi Roy hyadri	Bejoy Nambair	Action, crime, Drama	7.1
66	Ae dil hain Mushkil	2016	Ranbir Kapoor	Anushka Sharma 	Karan Johar	Drama, Musical	5.6
67	Ghayal Once Again	2016	Sunny Deol	Soha Ali khan	Sunny Deol	Action,Drama	6.4
68	Saala Khadoos	2016	R Madhavan	Radha Rave	Sudha Kongara	Action,Drama,Sports	7.6
69	Teen	2016	Amitabh Bachchan	Vidya Balan	Ribhu Dasgupta	Drama, Mystry, Thriller	7.3
70	Azhar	2016	Emraan Hashmi	Nargiz Fakhri	Anthony Dsouza	Biopic, Drama, Sport	5.8
71	Sarabjit	2016	Randeep Hooda	Aishwarya rai	Omung Kumar	Biopic,Drama	7.2
72	Baaghi	2016	Tiger Shrof	Shraddha Kapoor	Sabir  Khan	Action, Thriller	5.2
73	Baar Baaar Dekho	2016	Sidharth Malhotra	Katrina Kaif	Nitya Mehra	Comedy,Drama,Romance	5.3
74	Dhishoom	2016	John Abraham	Jacqline Fernandez	Rohit Dhawan	Action, Adventure,Comedy	5.1
75	Force 2	2016	John Abraham	Sonakshi Sinha	Abhinay Deo	Action,Thriller	6.2
76	Ki and Ka	2016	Arjun Kapoor	Kareena Kapoor	R. balki	Comedy, romance	5.8
77	Bajrangi Bhaijaan	2015	Salman Khan	Kareena Kapoor	Kabir Khan	Action, Comedy, Drama	8
78	Drisyham	2015	Ajay Devgan	Tabu	Nishikant Kamat	Crime, Drama, Mystery	8.3
79	Dilwale	2015	Shahrukh Khan	Kajol	Rohit Shetty	Action, Comedy, Romance	5.2
80	Bajirao Mastani	2015	Ranveer Singh	Deepika Padukone	Sanjay Leela Bhansali	Action, Drama, History	7.2
81	Manjhi-The Mountain Man	2015	Nawazuddin Siddiqui	Radhika Apte	Ketan Mehta	Adventure, Biopic, Drama	8
82	Prem Ratan Dhan Payo	2015	Salman Khan	Sonam Kapoor	Sooraj R. Barjatya	Action, Drama, Musical	4.6
83	Brothers	2015	Akshay Kumar	Jacqline Fernandez	Karan Malhotra	Action, Drama, Sport	6.5
84	Tamasha	2015	Ranbir Kapoor	Deepika Padukone	Imtiaz Ali	Comedy, Drama, Romance	7.2
85	Piku	2015	Amitabh Bachchan	Deepika Padukone	Shoojit Sircar	Comedy, Drama, Romance	7.6
86	Badlapur	2015	Varun Dhawan	Yami Gautam	Sriram Raghwan	Action, Crime, Drama	7.4
87	Masaan	2015	Vicky Kaushal	Richa Chaddha	Neeraj Ghaywan	Drama	8.1
88	Dum Laga ke Haisha	2015	Ayushmann Khurrana	Bhumi Pednekar	Sharat Kataria	Comedy, Drama, Romance	7.5
89	Dil Dhadkne Do	2015	Ranveer Singh	Priyanka Chopra	Zoya Akhtar	Comedy, Drama, Romance	6.8
90	Hamari Adhuri Kahani	2015	Emraan Hashmi	Vidya Balan	Mohit Suri	Drama, Romance	6.7
91	Singh is Bliing	2015	Akshay Kumar	Amy Jackson	Prabhu Deva	Action, Comedy	5.1
92	Any Body Can Dance 2	2015	Varun Dhawan	Shraddha Kapoor	Remo D'souza	Biopic, Drama, Music	5.5
93	Jazbaa	2015	Irrfan Khan	Aishwarya rai	Sanjay Gupta	Action, Crime, Drama	5.8
94	Shaandar	2015	Shahid Kapoor	Alia Bhatt	Vikas Bahl	Comedy, Drama, Romance	3.6
95	Katti Batti	2015	Imran Khan	Kangana Ranaut	Nikkhil Advani	Comedy, Drama, Romance	4.9
96	Ek Paheli Leela	2015	Rahul Dev	Sunny Leone	Bobby Khan	Mystry, Romance,Thriller	3.7
97	Hero	2015	Sooraj Pancholi	Athiya Shetty	Nikkhil Advani	Action, Drama, Musical	3.6
98	Roy	2015	Ranbir Kapoor	Jacqline Fernandez	Vikramjit Singh	Action, Drama, Mystery	3.3
99	Hunterr	2015	Gulshan Devaiah	Radhika Apte	Harshavardhan Kulkarni	Comedy, romance	7
100	Talvar	2015	Irrfan Khan	Konkona Sen Sharma	Meghna Gulzar	Crime, Drama, Mystery	8.2
101	Pk	2014	Aamir Khan	Anushka Sharma	Rajkumar Hirani	Comedy,Drama,Fantasy	8.2
102	Kick	2014	Salman Khan	Jacqline Fernandez	Sajid Nadiadwala	Action,Comedy	5.3
103	Bang Bang	2014	hritik Roshan	Katrina Kaif	Siddhart Anand	Action,Adventure	5.5
104	Two states	2014	Arjun Kapoor	Alia Bhatt	Abhishek Varman	Comedy,Drama,Romance	6.9
105	Haider	2014	Shahid Kapoor	Shraddha Kapoor	Vishal Bhardwaj	Action,Crime,Drama	8.1
106	Happy new year	2014	Shahrukh Khan	Deepika Padukone	Farah Khan	Action,Comedy,Music	5.1
107	Dedh Ishqiyaan	2014	nawazuddin Khan	Madhuri Dixit	Abhishek Chaubey	Comedy,Drama,Romance	7.1
108	Gunday	2014	Ranveer Singh	Priyanka Chopra	Ali Abbas Zafar	Action,Drama,Romance	2.3
109	Highway	2014	Randeep Hooda	Alia Bhatt	Imtiaz Ali	Crime,Drama,Romance	7.6
110	Hasee toh phasee	2014	Sidharth Malhotra	Parineeti Chopra	Vnil Mathew	Comedy,Romance	6.8
111	Humpty sharma ki dulhaniya	2014	Varun Dhawan	Alia Bhatt	Shashank Khaitan	Comedy,Drama,Romance	6
112	Hate Story 2	2014	Bhushan Kumar	Survin Chawla	Vishal Pandya	Drama,Thriller	4.4
113	Jai ho	2014	Salman Khan	Daisy Shah	Sohal Khan	Action,Drama	5.2
114	Happy ending	2014	Saif Ali Khan	Ileana D'Cruz	Krishna D. K.	Comedy,Romance	5.4
115	Entertainment	2014	Akshay Kumar	Tamannah Bhatia	Sajid 	Action,Comedy	4.5
116	Heropanti	2014	Tiger Shrof	Kriti Sanon	Sabir  Khan	Action,Romane	5.3
117	Singham Returns	2014	Ajay Devgan	Kareena Kapoor	Rohit Shetty	Action,Drama	5.7
118	Holiday	2014	Akshay Kumar	Sonakshi Sinha	A.R.Murrugadose	Action,Drama	7.2
119	Main tera hero	2014	Varun Dhawan	Ileana D'Cruz	David Dhavan	Comedy,Action,Romance	5.2
120	Mary Kom	2014	Sunil Thapa	Priyanka Chopra	Oumang Kumar	Action,Biography,Drama	6.8
121	Finding Fanny	2014	Arjun Kapoor	Deepika Padukone	Homi Adajania	Adventure,Comedy,Drama	5.8
122	Khoobsurat	2014	Fawad Khan	Sonam Kapoor	Shashank Ghosh	Comedy,Romace	6.4
123	Ek villain	2014	Sidharth Malhotra	Shraddha Kapoor	Mohit Suri	Action,Crime,Drama	6.4
124	Shaadi ke Side Effects	2014	Farhan Akhtar	Vidya Balan	Saket Chaudhary	Comedy,Romance	5.6
125	Youngistaan	2014	Jackky Bhagnani	Neha Sharma	Sayed Ahmad Afzal	Drama	5.1
126	Raja nathwarlal	2014	Emraan Hashmi	Humanima Malik	Kunal Deshmukh	Crime,Thriller	6.1
127	Kil dil	2014	Ranveer Singh	Parineeti Chopra	Shaad Ali	Action,Drama,Romance	4.3
128	Bewakoofiyaan	2014	Ayushman Khurana	Sonam Kapoor	Nupur Asthana	Comedy,Drama,Romance	5.5
129	Humshakals	2014	Saif Ali Khan	Tamannah Bhatia	Sajid Khan	Comedy	1.8
130	Dawat E ishq	2014	Aditya Roy Kapoor	Parineeti Chopra	Habib Faisal	Comedy,Drama,Romance	6.1
131	Yaariyaan	2014	Himansh Kohli	Rakul Preet Singh	Divya Khosala Kumar	Drama,Romance	2.7
132	Bhaag Milka Bhaag	2013	Farhan Akhtar	Sonam Kapoor	Rakeysh Omprakash Mehra	Drama	8.2
133	Chennai Express	2013	Shahrukh Khan	Deepika Padukone	Rohit Shetty	Action,Comedy,Romance	6
134	Yeh Jawani Hai Deewani	2013	Ranbir Kapoor	Deepika Padukone	Ayan Mukherji	Drama,Romace	7.1
135	Dhoom 3	2013	Aamir Khan	Katrina Kaif	Vijay Krishna Acharya	Crime,thriller,adventure	5.4
136	Special 26	2013	Akshay Kumar	Kajal Agarwal	Neeraj pandey	Drama,Crime	8
137	Ashiqui 2	2013	Aditya Roy Kapoor	Shraddha Kapoor	Mohit Suri	Drama,Romance	7
138	Lootera	2013	Ranveer Singh	Sonakshi Sinha	Vikramaditya Motwane	Drama	7.3
139	Raanjhaana	2013	Dhanush	Sonam Kapoor	Aanand L. Rai	Romance	7.6
140	Krrish 3	2013	hritik Roshan	Priyanka Chopra	Rakesh Roshan	Action,Romance	6.3
141	Race 2	2013	Saif Ali Khan	Deepika Padukone	Mustan burmawala	Action,Crime,Drama	5.3
142	Ram leela	2013	Ranveer Singh	Deepika Padukone	Sanjay Leela Bhansali	Drama,Romance,Action	6.4
143	R Rajkumar	2013	Shahid Kapoor	Sonakshi Sinha	Prabhu Deva	Action	5.2
144	Once upon a time in mumbai dobara	2013	Akshay Kumar	Sonakshi Sinha	Milan Luthria	Drama,Action,Romance	4.6
145	Ramaiya vastavayya	2013	Girish Kumar	Shruti Hasan	Prabhu Deva	Drama	5.6
146	Phata Poster Nikla Hero	2013	Shahid Kapoor	Ileana D'Cruz	Rajkumar Santoshi	Comedy,Action,Romance	4.8
147	Queen	2013	Rajkumar Rao	Kangana Ranaut	Vikas Bahl	Comedy,Drama	8.2
148	Bullet Raja	2013	Saif ali khan	Sonakshi Sinha	Tigmanshu Dhulia	Drama,Crime	5
149	Mickey Virus	2013	manish paul	Elli Avram	Saurabh Varma	Comedy,thriller	6.1
150	I, me aur main	2013	John Abraham	Prachi Desai	Kapil Sharma	Romance,Comedy	4.6
151	Besharam	2013	Ranbir Kapoor	Pallavi Sharda	Abhinav Kashyap	Comedy	3.6
152	Barfi	2012	Ranbir Kapoor	Priyanka Chopra	Anurag Basu	Comedy,Drama	8.1
153	Vicky Donar	2012	Ayushman Khurana	Yami Gautam	Shoojit Sircar	Comedy,Romance	7.8
154	Gangs of Wassaypur	2012	Nawazuddin Siddiqui	Huma Qurashi	Anurag Kashyap	Action,Thriller,Drama	8.2
155	Agneepath	2012	Hrithik Roshan	Priyanka Chopra	Karan Malhotra	Action,Drama	6.9
156	Talash	2012	Aamir khan	Kareena Kapoor	Suneel Darshan	Thriller	4.7
157	Ek tha Tiger	2012	Salman khan	Katrina Kaif	Kabir Khan	Thriller	5.5
158	Cocktail	2012	Saif Ali Khan	Diana Penty	Homi Adajania	Drama	6.3
159	Rowdy Rathore	2012	Akshay Kumar	Sonakshi Sinha	prabhu Deva	thriler, Action	5.7
160	Jab Tak Hain Jaan	2012	Shahrukh khan	Katrina Kaif	yash chopra	Drama,Romance	6.7
161	Bol Bacchan	2012	Ajay Devgan	Prachi Desai	Rohit Shetty	Comedy	5.5
162	Student of the Year	2012	Varun Dhawan	Alia Bhatt	Karan Johar	drama	5.4
163	Dabbang 2	2012	Salman khan	Sonakshi Sinha	arbaaz khan	Drama,Action,Romance	4.9
164	Son of Sardar	2012	Ajay Devgan	Sonakshi Sinha	ashwini dhir	Comedy, Action	4
165	Shanghai	2012	Emraan Hashmi	Kalki Koechhlin	Dibakar Banarjee	 	7.2
166	Raaz 3	2012	Emraan Hashmi	Esha Gupta	Vikram Bhatt	Drama	4
167	Agent Vinod	2012	Saif Ali Khan	Kareena Kapoor	Sriram Raghwan	Action	5.1
168	Khiladi 786	2012	Akshay Kumar	Asin	Ashish Mohan	Action,Comedy	4.2
169	Ek Main Aur Ek tu	2012	Imran Khan	Kareena Kapoor	Sakun batra	Drama,Romance	5.7
170	Jannat 2	2012	Emraan Hashmi	Esha Gupta	Kunal Deshmukh	Thriller	6.1
171	Joker	2012	Akshay Kumar	Sonakshi Sinha	shirish kunder	Fantasy	2.4
172	Teri Meri kahani	2012	Shahid Kapoor	Priyanka Chopra	Kunal Kohli	Romance,Drama	4.7
173	Tere Naal love ho gaya	2012	Ritesh Deshmukh	Genelia Desouza	Mandeep kumar	romance	5.8
174	Housefull 2	2012	Akshay Kumar	Deepika Padukone	sajhid khan	comedy,Drama	5.2
175	Kya superkool hai hum	2012	Tushar Kapoor	Neha Sharma	Sachin yadri	Comedy 	5
176	Tezz	2012	Ajay Devgan	Kangana Ranaut	Priyadarshan	Drama,Thriller	3.7
