index	title	release date	hero	heroine	director	genre	ratings
361	Dus Kahaniyaan	2007	sanjay dutt	Dia Mirza	sanjay gupta	Drama,thriller	5.7
362	Khoya Khoya Chand	2007	Shiney Ahuja	Soha Ali Khan	Sudhir Mishra	Drama,Romance	6.3
363	Speed	2007	zayed Khan	Urmila Matondkar	vikram bhatt	thriller	2.9
364	Dharm	2007	pankaj kapoor	supriya pathakk	bhavna talwar	Drama	7.9
365	Buddha Mar Gaya	2007	anupam kher	rakhi sawant	rahul rawail	Comedy,music	2.5
366	Red: the Dark side	2007	Aftab Shivdasani	calina jaitly	vikram bhatt	thriller	3.3
367	kaafila	2007	Sunny Deol	Sana Fakhar	Amitoj Maan	Drama	3.4
368	Eklavya: The Royal Guard	2007	amitabh bachhan 	Vidya Balan	vidhu vinod chopra	thriller	6.1
369	Rang De Basanti	2006	Aamir Khan 	Soha Ali Khan	Rakeysh Omprakash Mehra	Drama,Comedy,Music	8.2
370	Lage Raho Munna bhai	2006	Sanjay dutt	Vidya balan	Rajkumar Hirani	Comedy	8.1
371	Dhoom 2	2006	Hrithik Roshan	Aishwarya rai	Sanjay Gadhavi	Thriller,Comedy	6.5
372	Fanaa	2006	Aamir Khan	Kajol Mukharjee Devgan	Kunal Kohli	Drama	7.2
373	Omkara	2006	Ajay devgan	Kareena Kapoor	Vishal Bhardwaj	Drama,Crime	8.1
374	Krrish	2006	Hrithik Roshan	Priyanka Chopra	Rakesh Roshan	Action,Romance	6.3
375	Gangster	2006	Shiney Ahuja	Kangana Ranaut	Anurag basu	Drama	7.1
376	Kabhi Alvida Naa Kehna	2006	Shahrukh khan	Rani Mukharjee	karan johar	Drama	6
377	Don 2	2006	Shahrukh khan	Priyanka chopra	farhan akhtar	Drama,crime	7
378	Khosla Ka Ghosla!	2006	anupam kher	tara sharma	Dibakar Banarjee	Comedy,Drama	8.3
379	Malamaal Weekly	2006	Ritesh Deshmukh	Reema Sen	Priyadarshan	Comedy,Music	6.9
380	Phir Hera Pheri	2006	Akshay Kumar	Rimi sen	Neeraj Vora	Comedy	6.6
381	Golmaal: Fun unlimited	2006	Ajay Devgan	Rimi sen	Rohit shetty	Comedy, Music	7.4
382	Jaan-E-Mann	2006	Akshay Kumar	Preity Zinta	Shirish Kunder	Drama	6
383	Vivah	2006	Shahid Kapoor	Amrita Rao	Sooraj Barjatya	Drama	6.6
384	Kabul Express	2006	John Abraham	Linda Arsenio	Kabir Khan	Drama	6.8
385	Bhagam Bhag	2006	Akshay Kumar	lara dutta	Priyadarshan	Drama,thriller	6.3
386	Chup Chup ke	2006	Shahid Kapoor	Kareena Kapoor	Priyadarshan	Drama,Romance	6.7
387	Zinda	2006	Sanjay dutt	lara dutta	sanjay gupta	thriller,Drama	4.9
388	36 China Town	2006	Shahid Kapoor	Kareena Kapoor	Mustan Burmawalla	Thriller	5.6
389	Dor	2006	Nagesh Kukunoor	Aisha takiya	nagesh kukunoor	Drama	8
390	Baabul	2006	Salman Khan	Rani Mukharjee	Ravi chopra	Drama	5.4
391	Umaro Jaan	2006	Farooq Shaikh	Rekha	Muzaffar ali	Drama	7.8
392	Corporate	2006	kay kay menon	Bipasha Basu	madhur bhandarkar	Drama	6.5
393	Pyar ke Side effects	2006	Rahul bose	Mallika Sharawat	Sanket chaudhary	Drama,Romance	6.7
394	Darna Zaroori Hain	2006	anil kapoor	Mallika Sharawat	Ram Gopal Varma	thriller	5.4
395	Woh Lamhe	2006	Shiney Ahuja	Kangana Ranaut	Mohit Suri	Drama	6.6
396	Ahista Ahista	2006	abhay deol	Soha Ali Khan	Shivam Nair	Drama	7
397	Humko Deewana Kar Gaya	2006	Akshay Kumar	Katrina kaif	Raj kunwar	Drama	5.2
398	Yun Hota Toh Kya hota	2006	Irrfan Khan	konkona sen sharma	Nasaruddin Shah	Drama	6.7
399	Fight Club	2006	Sohail Khan	Dia Mirza	Vikram Chopra	Drama	3.2
400	Pyaare Mohan	2006	Fardeen Khan	Amrita Rao	Indra Kumar	Comedy, Music	3.2
401	The Killer	2006	Emraan Hashmi	Priyanka Kothari	Hasnain Hyderabadwala	Drama	4.6
402	Aap ki Khatir	2006	Akshaye Khanna	Priyanka Chopra	Dharmesh Darshan	Romance	3.5
403	Shaadi Se Pehle	2006	Akshaye Khanna	Ayesha Takia	Satish Kaushik	Comedy, Music	4
404	Bas ek pal	2006	Sanjay Suri	Urmila Matondkar	Onir	Drama	5.9
405	Naksha	2006	Sunny Deol	Sameera Reddy	Sachin Bajaj	Action	3.1
406	Mere Jeevan Saathi	2006	Akshay Kumar	Karisma Kapoor	Suneel Darshan	Romance	3.5
407	Apna Sapna Money Money	2006	Riteish Deshmukh	Celina Jaitly	Sangeet Sivan	Comedy, Music	5.2
408	Tathastu	2006	Sanjay dutt	Ameesha Patel	Anubhav Sinha	Drama	4.5
409	Aryan:Unbreakable	2006	Sohail Khan	Sneha Ullal	Abhishek Kapoor	Drama, Action	4.5
410	Banaras	2006	Ashmit Patel	Urmila Matondkar	Pankaj Parashar	Drama	6.2
411	Darwaza Bandh Rakho	2006	Aftab Shivdasani	Manisha Koirala	J. D. Chakravarthy	Drama	5.3
412	Dil Diya Hai	2006	Emraan Hashmi	Geeta Basra	Aditya Datt	Drama	3.4
413	Family	2006	Akshay Kumar	bhumika chawala	rajkumar santoshi	Thriller, Drama	5.6
414	Souten: the other women	2006	Shakti Kapoor	Mahima Chaudhary	Karan Razdan	Thriller	4.8
415	Black	2005	amitabh bachhan 	Rani Mukerji	Sanjay Leela Bhansali	Drama, Family	8.2
416	Parineeta	2005	Saif Ali Khan	Vidya Balan	Pradip Sarkar	Drama	7.2
417	Bunty aur Babli	2005	Abhishek Bachhan	Rani Mukerji	shaad ali	Comedy, Music, Romance	6.2
418	Iqbal	2005	Shreyas talpade	Shweta Basu Prasad	nagesh kukunoor	Drama	8.1
419	Sarkar	2005	Vijay	Keerthy Suresh	A.R Murugadoos	Drama, Thriller	6.9
420	Page 3	2005	Atul Kulkarni	konkona sen sharma	madhur bhandarkar	Drama	7.3
421	No Entry	2005	Salman Khan	Esha Deol	Anees Bazmee	Comedy,Music	6.6
422	Salaam Namaste	2005	Saif Ali Khan	Prity Zinta	Sidharth Anand	Drama	6.2
423	Garam Masala	2005	Akshay Kumar	Neetu Chandra	priyadarshan	Drama,Comedy	6.7
424	Waqt: the race against time	2005	Akshay Kumar	Priyanka Chopra	vipul shah	Drama	6.8
425	Paheli	2005	Shahrukh Khan	Juhi chawala	Amol Palekar	Thriller	6.5
426	Kalyug	2005	Kunal Khemu	Smilie Suri	Mohit Suri	Thriller	6.4
427	Mangal Pandey	2005	Aamir Khan	Rani Mukharjee	ketan Mehta	Drama,War	6.6
428	Dus	2005	Sanjay dutt	Shilpa Shetty	Anubhav sinha	thriller	5.5
429	Maine Pyaar Kyun Kiya	2005	Salman Khan	Sushmita Sen	David Dhavan	Comedy,Music	5.5
430	Bluffmaster!	2005	Abhishek bachhan 	Priyanka Chopra 	Rohan sippy	Drama	6.6
431	Kya Kool Hai Hum	2005	Tushar Kapoor 	Isha Koppikar	Sangeeth Sivan	Drama,Mystry	6.1
432	Socha Na tha	2005	Abhay Deol	Aisha takiya	Imtiaz Ali	Drama,Romance	7.5
433	Kaal	2005	Ajay Devgan	Esha Deol	Soham Shah	thriller	4.6
434	Lucky	2005	Salman Khan	Sneha ullal	john carrol Lynch	Drama,Comedy	7.3
435	Yahaan	2005	Jimmy Shergil	Minissha Lamba	Soojit sircar	Drama	7.4
436	Main, Meri Patni Aur Woh	2005	Rajpal Yadav	Rituparna Sengupta	Chandan Arora	Drama	7.3
437	Elaan	2005	John Abraham 	Ameesha Patel	Guddu Dhanoa	Drama	5.4
438	Deewane Huye Pagal	2005	Akshay Kumar 	Rimi Sen	Vikram bhatt	Drama	5.3
439	My Wife's Murder	2005	Anil Kapoor	Nandana Sen	jijy philip	thriller	6.2
440	Bewafaa	2005	Akshay Kumar	Kareena Kapoor	Dharmesh Darshan	Drama	5.3
441	Kyon Ki	2005	Salman khan	Rimi Sen	priyadarshan	Drama	5.5
442	Chocolate	2005	Emraan Hashmi	Tanushree Dutta	Vivek agnihotri	Crime,Thriller	4.8
443	Tango Charlie	2005	Ajay Devgan	Nandana Sen	Mani shankar	Drama	6
444	Dosti: Friends Forever	2005	Akshay Kumar	Kareena Kapoor	Suneel Darshan	Drama,Romance	5.5
445	Neal 'n' Nikki	2005	Uday Chopra	Tanishaa Mukharji	Arjun Sablok	Drama,Romance,Music	3.2
446	D	2005	Randeep Hooda 	Isha Koppikar	Vishrant Sawant	Thriller	6.8
447	Ek Ajnabee	2005	Amitabh Bachhan 	Perizaad zorabian	apoorva lakhia	Thriller	5.2
448	Koi Mere Dil Main Hai	2005	Priyanshu Chatterjee	Dia Mirza	Deepak Ramsay	Drama	4.8
449	Jo Bole So Nihal	2005	Sunny Deol	Nupur mehta	rahul rawail	Thriller	3.5
450	Vaah! Life ho toh Aisi	2005	Shahid Kapoor	Amrita Rao	Mahesh Manjrekar	comedy,music	4.4
451	Zeher	2005	Emraan Hashmi	Udita Goswami	Mohit Suri	Thriller	5.4
452	Main Aisa Hi Hoon	2005	Ajay Devgan	Sushmita Sen	Harry Baweja	Drama	4.7
453	Apaharan	2005	Ajay Devgan	Bipasha Basu	Prakash Jha	Drama, Crime	7.5
454	Insaan	2005	Akshay Kumar	Esha Deol	K. Subhash	Drama	4.6
455	Aashiq Banaya Aapane	2005	Emraan Hashmi	Tanushree Dutta	Aditya Datt	Drama	4.2
456	Dil jo bhi Kahey..	2005	Amitabh Bachchan	bhumika chawala	Romesh Sharma	Drama, Romance	4.8
457	Ek Khiladi Ek Haseena	2005	Fardeen Khan	Koena Mitra	Suparn Verma	Thriller	5.8
458	Naina 	2005	Anuj Swahney	Urmila Matondkar	Shripal Morakhia	Thriller	4.3
459	Viruddh	2005	John Abraham	Anusha Dandekar	Mahesh Manjrekar	Drama	7.1
460	Shabd	2005	Sanjay Dutt	Aishwarya rai	Leena Yadav	Drama	5.2
461	Mr Ya Miss	2005	Ritesh Deshmukh	Anatara Mali	Antara Mali	Drama	3.6
462	Veer-Zaara	2004	shahrukh khan	prity zinta	Yash chopra	Drama,Romance	7.8
463	Main Hoon Na	2004	shahrukh khan	sushmita sen	Farah Khan	Drama,Thriller	7
464	Swades	2004	shahrukh khan	gayatri joshi	Ashutosh Gowariker	Drama,Music	8.2
465	Khakee	2004	Akshay Kumar	Aishwarya rai	rajkumar santoshi	Drama	7.4
466	Dhoom	2004	john Abraham	Bipasha Basu	Sanjay Gadhavi	Thriller	6.7
467	Lakshya	2004	Hrithik Roshan	Prity Zinta	Farhan Akhtar	Drama	7.2
468	Yuva	2004	Ajay Devgan	Esha Deol	Mani ratnam	Drama,Crime	7.4
469	Aitraaz	2004	Akshay Kumar	Kareena Kapoor	abbas burmawala	thriller	6.6
470	Hum Tum	2004	Saif Ali Khan	Rani Mukharjee	Kunal Kohli	Comedy,Drama,Music	7
471	Ek  Hasina Thi	2004	Saif Ali Khan	Urmila Matondkar	Sriram Raghwan	Drama,thriller	7.6
472	Murder	2004	Emraan Hashmi	Mallika Sharawat	Anurag Basu	Drama,thriller	5.4
473	Mujhse Shaadi Karogi	2004	Salman Khan	Priyanka chopra	David Dhavan	Drama,Comedy	6.7
474	Raincoat	2004	Ajay Devgan	Aishwarya rai	Rituparno Ghosh	Drama	7.6
475	Rudraksh	2004	Sanjay Dutt	Bipasha Basu	Mani shankar	Drama,Thrillwe	2.6
476	Fida	2004	Shahid Kapoor	Kin Sharma	Ken Ghosh	thriller,Drama	5.5
477	Black Friday	2004	kay kay menon		Anurag Kashyap	Drama,Crime	8.5
478	Phir Milenge	2004	Salman khan	Revathi	Revathi	Drama	6.1
479	Hulchul	2004	Akshaye khanna	Kareena kapoor	priyadarshan	Comedy,Music	6.9
480	Ab tak Chappan	2004	Nana patekar	Revathi	Shimit Amin	Drama	7.9
481	Masti	2004	Ritesh Deshmukh	genelia dsouza	Indra Kumar	Comedy,Music	6.9
482	Dev	2004	Fardeen Khan	Kareena kapoor	Govind Nilhani	Drama	4.9
483	taarzan: the wonder Car	2004	Vatsal seth	Aisha takiya	abbas burmawala	comedy,Music	4.4
484	Dil Ne Jise Apna Kaha	2004	Salman khan	Prity Zinta	atul agnihotri	Comedy,Music	4.4
485	Aetbaar	2004	john abraham	bipasha basu	vikram bhatt	Thriller	4.6
486	Musafir	2004	sanjay dutt	sameera reddy	sanjay gupta	Drama,thriller	5.5
487	Garv: Pride and Honour	2004	salman khan	shilpa shetty	puneet issar	Drama	5.5
488	Gayab	2004	Tushar Kapoor 	antara mali	Prawaal Raman	Fantasy	4.2
489	Girlfriend	2004	Ashish chaudhary	Amrita arora	Karan Razdan	Drama	3.2
490	King of Bollywood	2004	Om puri	sophie dahl	piyush jha	comedy,music	6.5
491	Deewar	2004	Sanjay dutt	amrita rao	Milan Luthria	Drama	6
492	Vaastu Shastra	2004	J. D. Chakravarthy	Ahaas Channa	saurabh narang	thriller,Mystry	4.9
493	Rakht	2004	sunil shetty	bipasha basu	Mahesh Manjrekar	thriller	3.7
494	Naach	2004	abhishek bachchan	amrita arora	Ram Gopal Varma	romance,drama	4.2
495	Dobara	2004	jackie shroff	raveena tandon	shashi ranjan	drama	3.1
496	Aan: Men at work	2004	akshay kumar	raveena tandon	madhur bhandarkar	thriller	5.7
497	I Proud to be indian	2004	Sohail Khan	hina tasleem	puneet sira	drama,action	6.1
498	Dil MAange More	2004	Shahid Kapoor	ayesha takia	anant mahadevan	drama	5.1
499	Kismat	2004	bobby deol	priyank chopra	gudu dhano	drama 	3.7
500	Madhoshi	2004	johan abraham	bipasha basu	tanveer khan	drama	4.5
501	Yeh Lamhe Judaai ke	2004	shahrukh khan	raveena tandon	birendra nath tiwari	drama	3.8
502	Hawas	2004	anil dhawan	bindu	saawan kumar tak	drama	6.4
503	Bride and Prejudice	2004	martin hendarson	aishwarya rai	gurinder chadha	drama	6.1
504	Dil Bechara Pyaar Ka Maara	2004	aslam khan 	divya palat	onkar nath mishra	comedy,music	4
505	Ek se badhkar ek	2004	sunil shetty	raveena tandon	kunan shah	thriller	4.7
506	Suno Sasurjee	2004	aftab Shivdasani	ameesha patel	vimal kumar	drama	5
507	Aabra Ka Daabra	2004	prabhu deva	hansika motwani	dheeraj kumar	fantasy	2.3
508	Asambhav	2004	arjun rampal	priyank chopra	rajeev rai	thriller	3.4
509	Kis Kis Ki Kismat	2004	dharmendra deol	malika sherawat	govind menon	drama	2.5
510	Insaaf: The Justice	2004	mohan joshi	kunika	shey srivastsav	drama	4
511	Kal ho na ho	2003	shahrukh khan	Prity zinta	Nikkhil Advani	Drama, Comedy	8
512	koi mil gaya	2003	Hrithik Roshan	Prity zinta	Rakesh Roshan	Fantacy, Drama	7.1
513	Baghban	2003	Amitabh Bachhan	Hema Malini	Ravi Chopra	Drama, Romance	7.4
514	Munna Bhai M.B.B.S.	2003	Sanjay Dutt	Gracy Singh	Rajkumar Hirani	Drama	8.2
515	Hungama	2003	Akshaye Khanna	Rimi Sen	Priyadarshan	Drama	7.5
516	Gangajal	2003	Ajay Devgan	Gracy Singh	Prakash Jha	Drama	7.8
517	Bhoot	2003	Ajay Devgan	Urmila Matondkar	Ram Gopal Varma	Thriller	6.5
518	Tere Naam	2003	Salman Khan 	Bhumika Chawala	Satish Kaushik	Drama	7.1
519	Chalte Chalte	2003	shahrukh khan	Rani Mukharjee	Aziz Mishra	Drama	6.5
520	Andaaz	2003	Akshay Kumar	Priyanka Chopra	Raj Kanwar	Drama, Romance	5.3
521	The Hero	2003	Sunny Deol	Priyanka Chopra	Anil Sharma	Thriller	5.2
522	LOC Kargil	2003	Ajay Devgan	Kareena Kapoor	J. P. Dutta	Drama	5.1
523	Main Prem Ki Diwani Hoon	2003	Hrithik Roshan	Kareena Kapoor	Sooraj Barjatya	Drama	4
524	Pinjar	2003	Manoj Bajpai	Urmila Matondkar	Chandraprakash Dwivedi	Drama	8
525	Jism	2003	John Abraham	Bipasha Basu	Amit Saxena	Drama	5.2
526	Darna Mana Hain	2003	Saif Ali Khan	Shilpa Shetty	Prawaal Raman	Adventure	6.3
527	Isqh Vishq	2003	Shahid Kapoor	Amrita Rao	Ken Ghosh	Romance	6
528	Qayamat:City under threat	2003	Ajay Devgan	Neha Dhupia	Harry Baweja	Thriller	4.7
529	3 Deewarein	2003	Nagesh Kukunoor	Juhi Chawla	Nagesh Kukunoor	Drama	7.9
530	Samay	2003	Jackie Shroff	Shushmita Sen	Robby Grewal	Drama, Thriller	6.9
531	Maqbool	2003	Irfan Khan	Tabu	Vishal Bhardwaj	Drama, Crime	8.2
532	haasil	2003	Irfan Khan	Hrishitaa Bhatt	Tigmanshu Dhulia	Drama, Romance	7.6
533	Boom	2003	Amitabh Bachhan	Katrina Kaif	Kaizad Gustad	Drama, Thriller	2.3
534	Zameen	2003	Ajay Devgan	Bipasha Basu	Rohit Shetty	Thriller	5.3
535	Matrubhoomi	2003	Sushant Singh	Tulip Joshi	Manish Jha	Drama, Sci-fi	7.7
536	Armaan	2003	Amitabh Bachchan	Priety Zinta	Honey Irani	Drama, Romance	5.2
537	Kuch Naa Kaho	2003	Abhishekh Bachchan	Aishwarya Rai	Rohan Sippy	Drama	5.4
538	Jhankaar Beats	2003	Sanjay Suri	Juhi Chawla	Sujoy Ghosh	Comedy, Romance	7.2
539	Chura Liyaa Hai Tumne	2003	Zayed Khan	Esha Deol	Sangeet Sivan	Thriller	3.7
540	Main Madhuri Banna Chahti hoon	2003	Rajpal Mali	Antara Mali	Chandan Arora	Comedy, Msuic	6
541	Chori Chori	2003	Ajay Devgan	Rani Mukharjee	Vikram Lutharia	Comedy, Music	4.8
542	Ek aur Ek Gyarah	2003	Govinda	Amrita Arora	David Dhawan	Comedy, Music	5.2
543	Calcutta Mail	2003	Anil Kapoor	Rani Mukharjee	Sudhir Mishra	Thriller	5.7
544	Dil Ka Rishta	2003	Arjun Rampal	Aishwarya Rai	Naresh Malhotra	Romance	4.7
545	Hawa	2003	Shahbaz Khan	Tabu	Guddu Dhanoa	Horror,Thriller	3.3
546	Footpath	2003	Emraan Hashmi	Bipasha Basu	Vikram Bhatt	Drama, Crime	5.3
547	Waisa Bhi Hota Hai 2	2003	Arshad Warsi	Sandhya Mridul	Shashanka Ghosh	Action	7.3
548	Chameli	2003	Rahul Bose	Kareena Kapoor	Sudhir Mishra	Drama	7.1
549	Raghu Romeo	2003	Vijay Raaz	Maria Goretti	Rajat Kapoor	Drama	6.9
550	Saaya	2003	John Abraham	Tara Sharma	Anurag Basu	Drama	5.8
551	Nayee Padosan	2003	mahek chahal	anuj sawhney	tharunkumar	comedy,music,drama	5.4
552	Stumped	2003	salman khan 	raveena tandon	gaurav pandey	sport	2.6
553	Dhund:The Fog	2003	apurva agnihotri	aditi govitrikar	shyam ramsay	thriller aventure	2.3
